Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R22,2k21,R_0805_2012Metric,-32.156400,5.204700,90.000000,top
R23,39k0,R_0805_2012Metric,-29.337000,9.421100,270.000000,top
R24,2k21,R_0805_2012Metric,-29.337000,5.103100,90.000000,top
R25,4R75,R_0805_2012Metric,0.000000,42.974500,90.000000,top
R26,4R75,R_0805_2012Metric,0.127000,32.497000,270.000000,top
R28,4R75,R_0805_2012Metric,-27.279600,20.901900,270.000000,top
R29,1k00,R_0805_2012Metric,-40.703500,19.606500,270.000000,top
R30,1k00,R_0805_2012Metric,-28.854400,38.834300,90.000000,top
R31,0R0005,R_2512_6332Metric,3.450000,38.227000,180.000000,top
R32,4R75,R_0805_2012Metric,-27.279600,16.533100,90.000000,top
R33,1k00,R_0805_2012Metric,3.680700,26.111200,180.000000,top
R36,10K0,R_0805_2012Metric,-47.292500,20.193000,0.000000,top
R38,100k,R_0805_2012Metric,-42.799000,-4.269500,270.000000,top
R39,3k2,R_0805_2012Metric,-42.799000,-7.922500,270.000000,top
R41,10K0,R_0805_2012Metric,-3.507500,-26.860500,0.000000,top
R42,4R75,R_0805_2012Metric,-11.633200,28.775900,270.000000,top
R43,4R75,R_0805_2012Metric,-11.684000,24.638000,90.000000,top
R45,0R0005,R_2512_6332Metric,-36.957000,26.035000,270.000000,top
R46,0R0005,R_2512_6332Metric,-21.082000,35.052000,270.000000,top
U1,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,-21.778200,-27.556400,270.000000,top
U2,IRU1010-33,SOT-223,-50.292000,-6.985000,90.000000,top
U3,DCA56_6P35X3P61,DRV8301DCAR,-34.112200,-7.239000,0.000000,top
U4,INA240A3,INA240A1QPWRQ1,-41.249600,25.958800,180.000000,top
U5,INA240A3,INA240A1QPWRQ1,3.373001,31.648400,180.000000,top
U6,INA240A3,INA240A1QPWRQ1,-25.603200,35.153600,0.000000,top
U7,TSOP-5,M74VHC1GT66DTT1G,-37.211000,19.304000,180.000000,top
U8,TSOP-5,M74VHC1GT66DTT1G,-26.223001,42.786300,270.000000,top
U9,TSOP-5,M74VHC1GT66DTT1G,-0.622300,27.493001,0.000000,top
Y1,ABM3B 8MHz,Crystal_SMD_5032-4Pin_5.0x3.2mm,-36.879800,-19.675600,0.000000,top
