Ref,Val,Package,PosX,PosY,Rot,Side
"R4","2k70","R_0805_2012Metric",-20.152005,-41.787500,270.000000,top
"R5","10r0","R_0805_2012Metric",-0.390000,-46.762499,270.000000,top
"R6","2k70","R_0805_2012Metric",-17.850000,-42.637500,270.000000,top
"R7","2k70","R_0805_2012Metric",-15.575000,-43.462500,270.000000,top
"R8","11k0","R_0805_2012Metric",-13.250000,-44.662500,270.000000,top
"R9","1k00","R_0805_2012Metric",-36.595000,-24.119499,90.000000,top
"R10","221r","R_0805_2012Metric",-27.959000,-24.055999,90.000000,top
"R11","221r","R_0805_2012Metric",-32.277000,-24.055999,90.000000,top
"R12","220k","R_0805_2012Metric",52.700200,-2.600200,270.000000,top
"R13","56k0","R_0805_2012Metric",-51.200000,0.637500,270.000000,top
"R14","2k70","R_0805_2012Metric",-53.300000,0.637500,270.000000,top
"R15","110k","R_0805_2012Metric",41.150000,-0.950400,270.000000,top
"R16","11k0","R_0805_2012Metric",45.700000,-2.850400,90.000000,top
"R17","56k0","R_0805_2012Metric",-41.910000,0.468000,270.000000,top
"R18","2k70","R_0805_2012Metric",-39.624000,0.468000,270.000000,top
"R19","56k0","R_0805_2012Metric",-32.638000,0.586500,270.000000,top
"R20","2k70","R_0805_2012Metric",-30.226000,0.586500,270.000000,top
"R21","56k0","R_0805_2012Metric",-49.962500,-15.000000,0.000000,top
"R22","2k70","R_0805_2012Metric",-49.962500,-17.200000,0.000000,top
"R23","2k70","R_0805_2012Metric",47.750000,-2.850400,270.000000,top
"R24","4r75","R_0805_2012Metric",34.450000,-5.600400,90.000000,top
"R25","5r60","R_0805_2012Metric",20.620200,34.609800,270.000000,top
"R26","5r60","R_0805_2012Metric",40.150200,28.837300,270.000000,top
"R27","3k30","R_0805_2012Metric",39.300200,-11.900200,90.000000,top
"R28","5r60","R_0805_2012Metric",-37.599800,18.724800,0.000000,top
"R29","1k00","R_0805_2012Metric",-50.400000,6.900000,270.000000,top
"R30","1k00","R_0805_2012Metric",-40.300000,7.037500,270.000000,top
"R31","0r001","R_2512_6332Metric",30.150200,38.359800,270.000000,top
"R32","5r60","R_0805_2012Metric",-34.037300,38.099800,180.000000,top
"R33","1k00","R_0805_2012Metric",-29.700000,6.937500,270.000000,top
"R35","7k50","R_0805_2012Metric",-9.199600,-29.400000,90.000000,top
"R36","11k0","R_0805_2012Metric",-35.437300,16.499800,180.000000,top
"R37","0r00","R_0805_2012Metric",-28.950000,-34.700000,270.000000,top
"R38","4r75","R_0805_2012Metric",36.650000,-5.587900,90.000000,top
"R39","4r75","R_0805_2012Metric",38.850000,-5.550400,90.000000,top
"R40","11k0","R_0805_2012Metric",-24.700000,-34.700000,270.000000,top
"R41","11k0","R_0805_2012Metric",-31.100000,-34.662500,270.000000,top
"R42","5r60","R_0805_2012Metric",-9.787300,27.799800,0.000000,top
"R43","5r60","R_0805_2012Metric",-2.762300,45.199800,0.000000,top
"R45","0r001","R_2512_6332Metric",-41.249800,28.499800,0.000000,top
"R46","0r001","R_2512_6332Metric",-13.479800,37.559800,0.000000,top
"R47","CMFB103F3950FANT","R_0805_2012Metric",-33.599800,18.699800,180.000000,top
"U1","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",-35.928200,-10.981400,0.000000,top
"U2","SN74LVC1G66DBVR","M74VHC1GT66DTT1G",-46.000000,0.431800,90.000000,top
"U3","2ED2304S06F","SOIC-8_3.9x4.9mm_P1.27mm",-28.924800,19.999800,90.000000,top
"U4","INA240A1","INA240A1QPWRQ1",-49.400001,10.874999,180.000000,top
"U5","INA240A1","INA240A1QPWRQ1",-29.100000,10.900000,180.000000,top
"U6","INA240A1","INA240A1QPWRQ1",-39.400000,10.900000,180.000000,top
"U7","SN74LVC1G66DBVR","M74VHC1GT66DTT1G",-47.100000,6.300000,90.000000,top
"U8","SN74LVC1G66DBVR","M74VHC1GT66DTT1G",-37.100000,6.500000,90.000000,top
"U9","SN74LVC1G66DBVR","M74VHC1GT66DTT1G",-26.293800,6.300000,90.000000,top
"U10","LM5008MM","MSOP-8_3x3mm_P0.65mm",45.550000,0.999600,0.000000,top
"U11","SN74LVC1G66DBVR","M74VHC1GT66DTT1G",-36.322000,0.508000,90.000000,top
"U12","2ED2304S06F","SOIC-8_3.9x4.9mm_P1.27mm",-0.799800,28.729800,90.000000,top
"U13","SN74LVC1G66DBVR","M74VHC1GT66DTT1G",-27.068000,0.431800,90.000000,top
"U14","AQY282S","SO-4_4.4x4.3mm_P2.54mm",49.500200,-8.500200,0.000000,top
"U15","2ED2304S06F","SOIC-8_3.9x4.9mm_P1.27mm",21.940200,24.669800,0.000000,top
"U16","EYSGJNZWY","BLE_EYSGJNZWY",-10.899600,-37.600000,0.000000,top
"U17","AMS1117-3.3","SOT-223-3_TabPin2",30.600400,-14.000400,270.000000,top
"U18","RFM95W-868S2","XCVR_RFM95W-868S2",16.600200,-37.600200,0.000000,top
"Y1","X50328MSB2GI","Crystal_SMD_5032-2Pin_5.0x3.2mm",-50.174400,-8.150000,270.000000,top
